caseName,IVT,U925,V925,WS925,WD925,LTS,dWS925,dWD925,dTH925,TH925,dqv925,qv925
ish_20010101,177.06881377367588,-4.567775249481201,-7.744891166687012,8.991546630859375,30.531204223632812,17.127999999999986,5.261570667830707,-5.621184531493782,0.3439999999999941,288.4574,-3.3245421946048737e-05,0.006381940096616745
ish_20010102,46.12702956823952,-0.40343648195266724,-1.4981861114501953,1.5515549182891846,15.0712890625,22.33000000000004,-1.241325653355595,41.571673910412414,1.593999999999994,291.2208,-0.0008848067373037338,0.00673722755163908
ish_20010105,368.0167433547996,-14.63702392578125,-0.0369751937687397,14.637070655822754,89.85525512695312,12.44300000000004,5.677431932450604,15.73134209137038,0.67999999999995,291.7806,-0.0014758314937353134,0.010633274912834167
ish_20010106,514.0688604001025,-15.2219877243042,9.037114143371582,17.702495574951172,120.69711303710938,13.863999999999976,5.565411292469783,10.081976472977374,0.3779999999999859,294.83680000000004,-0.0004949290305376053,0.011258061043918133
ish_20010108,256.2768441337933,-6.400094509124756,-5.881671905517578,8.692253112792969,47.41705322265625,20.88499999999999,4.203103528955251,16.442697811438336,0.7450000000000045,292.1248,-0.0005848323926329613,0.010074066929519176
ish_20010110,280.1807278980754,-5.1960015296936035,-7.9275102615356445,9.478599548339844,33.242393493652344,14.276999999999987,3.923098111996131,17.64565451696592,1.3029999999999973,290.97860000000003,-0.000797957181930542,0.009690547361969948
ish_20010112,165.0723221283469,-8.69587516784668,-1.573776125907898,8.837138175964355,79.74166870117188,12.785000000000025,2.953109500269794,10.100103180950043,0.632000000000005,291.43580000000003,-0.0005953554064035416,0.008875750005245209
ish_20010117,81.3788160961393,-3.259488344192505,-4.303836822509766,5.398821830749512,37.138267517089844,19.61500000000001,2.305834333079628,37.23849554786494,1.3770000000000095,287.1376,-0.0002038027159869671,0.006203937344253063
ish_20010118,143.35256230385414,-6.426377773284912,4.165732383728027,7.6584367752075195,122.9522705078125,14.114000000000033,2.313797778906377,-0.3733704698335316,0.6299999999999955,290.8128,-0.00043294671922922134,0.007365787867456675
ish_20010119,103.14585838164247,-4.523934364318848,2.8803911209106445,5.3630805015563965,122.48492431640625,12.692000000000007,1.1325985068198827,16.584858735933835,0.6999999999999886,292.4322,-0.0006534196436405182,0.009614858776330948
ish_20010121,156.83123874229258,-4.602088928222656,-6.544025421142578,8.000218391418457,35.1168212890625,17.581000000000017,3.515244519761432,-7.533555185579701,1.205000000000041,291.1968,-0.000881243497133255,0.00887574814260006
ish_20010124,218.93468748909484,-3.867060899734497,3.8034470081329346,5.4240546226501465,134.52484130859375,15.168000000000006,5.055720859072542,18.802386809195355,1.7349999999999568,293.51060000000007,-0.0020304424688220024,0.012541310861706734
ish_20010203,214.91570494937451,-8.019200325012207,0.9818335771560669,8.079082489013672,96.98030090332031,14.17999999999995,3.5610050817807046,32.66013372679873,1.490000000000009,291.6566,-0.001296449452638626,0.010485192760825157
ish_20010205,104.56063293293565,-1.374115228652954,-3.9690983295440674,4.200230121612549,19.09601593017578,20.412999999999954,-1.2991990247610046,-26.97596945996196,1.910000000000025,291.7872,-0.0008105998858809471,0.010538359172642231
ish_20010206,100.34583484215658,-2.962836503982544,-1.3303987979888916,3.247824192047119,65.81854248046875,19.648000000000025,-0.7674291127471866,41.45745066511688,1.7370000000000232,293.64520000000005,-0.0011108042672276497,0.011171179823577404
ish_20010211,321.6166685147529,-13.792871475219727,-2.974766731262207,14.110015869140625,77.82919311523438,16.255999999999972,5.746862743658646,10.582879613232251,0.8310000000000173,291.79359999999997,-0.0009215744212269783,0.010811884887516499
ish_20010212,244.09768106757605,-5.5786004066467285,2.8054261207580566,6.244293212890625,116.69740295410156,15.79200000000003,3.162471135480758,50.818946187812,2.391999999999996,294.4508,-0.0013894811272621155,0.013792650774121284
ish_20010217,103.66902121664894,-5.424462795257568,-3.616032838821411,6.519239902496338,56.31195068359375,20.87700000000001,3.826479047765929,27.096639669892568,0.44199999999995043,287.7942,-0.0003933357074856758,0.006500436924397945
ish_20010218,71.31570271616418,-2.6483871936798096,-0.9248641729354858,2.805232286453247,70.7498779296875,24.30000000000001,0.5846528775608619,45.459506505568356,1.0470000000000255,291.83860000000004,-0.0010007396340370178,0.00859659444540739
ish_20010220,188.46577578174728,-6.510951042175293,-2.5633933544158936,6.997389793395996,68.51019287109375,18.617999999999995,3.9911526176369723,10.533555969065901,0.8450000000000273,292.4832,-0.0012423163279891014,0.010224913246929646
